,id,comment,class
0,0,bom e interessante,2
1,1,"Esta classe é muito útil para mim. Atualmente, eu ainda estou aprendendo essa classe que faz com que uma grande quantidade de conhecimento básico de música.",2
2,2,como! Prof e TAs são úteis e a discussão entre os estudantes são bastante ativos. Muito gratificante experiência de aprendizagem!,2
3,3,Fácil de seguir e inclui uma série de técnicas básicas e importantes para usar o SketchUp.,2
4,4,"Muito bom professor! Eu poderia tenho o eazliy ponto, mas a v",2
5,5,"Ótimo curso - eu recomendo para todos, especialmente a TI e os negócios Managers!",2
6,6,Um dos o curso mais útil em Gestão de TI!,2
7,7,"Fiquei decepcionado porque o nome é enganador. O curso oferece uma boa introdução e visão geral das responsabilidades do CTO, mas tem muito pouco especificamente conteúdo digital. Trata-se de duas velocidades de TI em uma única palestra curta, então é claro que o tratamento é superficial. É fácil encontrar o material mais aprofundada disponível gratuitamente, no site da McKinsey, por exemplo.",1
8,8,conteúdo Super. Eu definitivamente vou voltar a fazer o curso,2
9,9,Um dos excelentes cursos na Coursera para chefes de tecnologia da informação e gerentes.,2
10,10,"Existe alguma razão para que você não deve aplicar o curso pelo BCG?) O seu conteúdo é bastante único e inclui uma análise de alto nível e uma ampla gama de conhecimentos necessários para cobrir todos os aspectos aspects.Best detalhada, Oleg Serov",2
11,11,Excelente curso e professores. Parabéns!!,2
12,12,Este é um curso bom para um CIO de uma empresa não técnico.,2
13,13,"Bom conteúdo, mas o cenário é claro que (pelo menos para mim) não permite aprender o conteúdo de longo prazo devido ao material de leitura em falta.",1
14,14,abordagem muito estruturada. Obrigado por compartilhar comigo.,2
15,15,"Programa desmistifica o mundo em evolução dos CIOs em um corporation.Coverage mundial típico sendo participantes familiariza introdutórios bem através de algumas das nuances e emergentes trends.When Peguei os números participante do curso foi menos, então o feedback foi bastante atrasado. Portanto, deve-se planejar a ser paciente para obter a sua pares reviews.Based em avaliações pelos pares senti muito variações em suas seções expectations.Few estão em francês com qualidade Subtitles.Subtitle requer auditoria / revisão.",2
16,16,curso muito relevante e útil projetado para CIOs,2
17,17,"Este curso não diz nada sobre a digitalização, que é o tema central da onda digital.",0
18,18,Vídeos que são apresentados em francês poderia ter sido traduzido para o Inglês.,2
19,19,"O conteúdo do curso é muito bom, embora pudesse ter sido mais profunda em algumas areas.But seu sistema de revisão por pares não está funcionando bem, se em all.Regards, An Le.",1
20,20,"Grande parte do trabalho, eu gostei especialmente de alguns lifehacks 'para o CIO",2
